task_id,created_at,assigned_at,start_move_at,arrived_at,start_service_at,end_service_at,from_node,to_node,distance_m,robot_id,status
11,2025-06-01 16:44:59,2025-06-01 16:45:25.829171,2025-06-01 16:45:31.952490,2025-06-01 16:47:23.603278,2025-06-01 16:47:25.799576,2025-06-01 16:48:55.547177,N03,N06,103.0,R5,done
12,2025-06-01 07:24:17,2025-06-01 07:28:55.011784,2025-06-01 07:29:00.059102,2025-06-01 07:30:40.776616,2025-06-01 07:30:47.523795,2025-06-01 07:32:26.572932,N18,N08,97.6,R6,done
13,2025-06-01 17:03:14,2025-06-01 17:04:00.454208,2025-06-01 17:04:13.699642,2025-06-01 17:05:35.575833,2025-06-01 17:05:43.675702,2025-06-01 17:06:25.909710,N02,N11,80.3,R4,done
14,2025-06-01 08:36:56,2025-06-01 08:37:43.889750,2025-06-01 08:37:57.957336,2025-06-01 08:38:56.047151,2025-06-01 08:39:06.125476,2025-06-01 08:40:34.746765,N11,N07,56.5,R6,done
15,2025-06-01 21:41:29,2025-06-01 21:42:20.947722,2025-06-01 21:42:23.747515,2025-06-01 21:43:45.187586,2025-06-01 21:43:50.781555,2025-06-01 21:44:58.211068,N05,N09,70.3,R2,done
16,2025-06-01 14:16:47,2025-06-01 14:18:03.466926,2025-06-01 14:18:10.066802,2025-06-01 14:19:43.536122,2025-06-01 14:19:50.230925,2025-06-01 14:20:51.490236,N19,N14,87.5,R5,done
17,2025-06-01 08:08:32,2025-06-01 08:08:57.598817,2025-06-01 08:09:12.845554,2025-06-01 08:10:50.178817,2025-06-01 08:10:56.752986,2025-06-01 08:11:38.236231,N16,N03,85.2,R1,done
18,2025-06-01 06:10:50,2025-06-01 06:11:23.779933,2025-06-01 06:11:38.596814,2025-06-01 06:13:40.129816,2025-06-01 06:13:45.421540,2025-06-01 06:14:28.371435,N14,N03,114.8,R4,done
19,2025-06-01 23:33:16,2025-06-01 23:33:50.956276,2025-06-01 23:34:05.349644,2025-06-01 23:34:48.381789,2025-06-01 23:34:56.288857,2025-06-01 23:35:53.450587,N18,N01,38.9,R6,done
20,2025-06-01 16:34:48,2025-06-01 16:41:30.809191,2025-06-01 16:41:43.937528,2025-06-01 16:42:58.358583,2025-06-01 16:43:03.084039,2025-06-01 16:44:00.785975,N09,N11,72.1,R1,done
21,2025-06-01 06:00:46,2025-06-01 06:02:26.744049,2025-06-01 06:02:34.481738,2025-06-01 06:03:59.411455,2025-06-01 06:04:06.124253,2025-06-01 06:04:55.365358,N09,N17,76.3,R2,done
22,2025-06-01 04:40:19,2025-06-01 04:40:44.086439,2025-06-01 04:40:54.952344,2025-06-01 04:42:28.020877,2025-06-01 04:42:31.403003,2025-06-01 04:43:32.755154,N17,N07,86.4,R2,done
23,2025-06-01 07:49:59,2025-06-01 07:51:01.196403,2025-06-01 07:51:15.558639,2025-06-01 07:53:17.651808,2025-06-01 07:53:20.776158,2025-06-01 07:53:57.173024,N17,N01,111.7,R5,done
24,2025-06-01 00:59:23,2025-06-01 01:00:48.969684,2025-06-01 01:01:01.544922,2025-06-01 01:02:49.124592,2025-06-01 01:02:53.494054,2025-06-01 01:04:11.941412,N10,N08,95.5,R1,done
25,2025-06-01 14:05:05,2025-06-01 14:05:39.930728,2025-06-01 14:05:48.746635,2025-06-01 14:07:34.861644,2025-06-01 14:07:36.284651,2025-06-01 14:08:34.738648,N16,N03,102.8,R5,done
26,2025-06-01 05:30:35,2025-06-01 05:31:19.888081,2025-06-01 05:31:30.289075,2025-06-01 05:33:03.285521,2025-06-01 05:33:06.854914,2025-06-01 05:33:57.914077,N06,N09,90.7,R5,done
27,2025-06-01 11:13:59,2025-06-01 11:14:34.984487,2025-06-01 11:14:46.066780,2025-06-01 11:16:31.633296,2025-06-01 11:16:39.360167,2025-06-01 11:17:25.430052,N18,N07,100.4,R6,done
28,2025-06-01 23:41:23,2025-06-01 23:42:23.639401,2025-06-01 23:42:35.849771,2025-06-01 23:44:30.969129,2025-06-01 23:44:34.384088,2025-06-01 23:45:20.799663,N15,N17,104.9,R4,done
29,2025-06-01 08:21:01,2025-06-01 08:22:26.441818,2025-06-01 08:22:40.770594,2025-06-01 08:23:58.971651,2025-06-01 08:24:04.607185,2025-06-01 08:24:55.671586,N19,N18,76.6,R2,done
30,2025-06-01 00:45:40,2025-06-01 00:47:36.292869,2025-06-01 00:47:52.624903,2025-06-01 00:48:30.866321,2025-06-01 00:48:32.827581,2025-06-01 00:50:10.116103,N02,N08,31.6,R1,done
31,2025-06-01 20:04:32,2025-06-01 20:06:57.646487,2025-06-01 20:07:04.108140,2025-06-01 20:08:16.504523,2025-06-01 20:08:21.465639,2025-06-01 20:09:34.659019,N08,N09,65.5,R6,done
32,2025-06-01 13:46:59,2025-06-01 13:47:23.237108,2025-06-01 13:47:32.711515,2025-06-01 13:48:25.303844,2025-06-01 13:48:29.423755,2025-06-01 13:49:06.747548,N19,N20,52.0,R4,done
33,2025-06-01 12:26:12,2025-06-01 12:28:56.553520,2025-06-01 12:28:59.374209,2025-06-01 12:30:34.289733,2025-06-01 12:30:38.884818,2025-06-01 12:31:35.995198,N04,N20,83.9,R6,done
34,2025-06-01 11:29:55,2025-06-01 11:31:29.382762,2025-06-01 11:31:40.013236,2025-06-01 11:33:02.503777,2025-06-01 11:33:11.769844,2025-06-01 11:34:38.025763,N02,N04,81.8,R1,done
35,2025-06-01 10:55:06,2025-06-01 10:55:59.952013,2025-06-01 10:56:12.893599,2025-06-01 10:56:40.500108,2025-06-01 10:56:47.270089,2025-06-01 10:57:33.774190,N08,N07,21.4,R2,done
36,2025-06-01 06:11:17,2025-06-01 06:11:55.813905,2025-06-01 06:12:04.036462,2025-06-01 06:13:19.768278,2025-06-01 06:13:26.394002,2025-06-01 06:14:57.602833,N15,N08,66.1,R1,done
37,2025-06-01 20:35:06,2025-06-01 20:35:39.583943,2025-06-01 20:35:46.783038,2025-06-01 20:37:34.160524,2025-06-01 20:37:35.585181,2025-06-01 20:38:44.978190,N02,N18,98.9,R1,cancelled
38,2025-06-01 21:54:15,2025-06-01 21:54:52.558610,2025-06-01 21:55:08.368297,2025-06-01 21:56:05.499045,2025-06-01 21:56:13.110003,2025-06-01 21:57:02.463072,N06,N14,43.4,R4,done
39,2025-06-01 20:57:03,2025-06-01 20:58:39.709500,2025-06-01 20:58:48.158166,2025-06-01 21:00:15.151788,2025-06-01 21:00:23.976423,2025-06-01 21:01:18.542959,N06,N13,80.6,R1,failed
40,2025-06-01 09:50:50,2025-06-01 09:51:07.114276,2025-06-01 09:51:14.880408,2025-06-01 09:53:18.106267,2025-06-01 09:53:24.354507,2025-06-01 09:54:02.953913,N15,N10,112.0,R4,done
41,2025-06-01 17:50:35,2025-06-01 17:51:34.487834,2025-06-01 17:51:40.001562,2025-06-01 17:53:24.151301,2025-06-01 17:53:28.533116,2025-06-01 17:54:14.222339,N16,N05,98.9,R2,done
42,2025-06-01 22:37:47,2025-06-01 22:39:19.206765,2025-06-01 22:39:35.996169,2025-06-01 22:41:23.613134,2025-06-01 22:41:27.671057,2025-06-01 22:42:28.485281,N18,N02,104.1,R6,done
43,2025-06-01 02:30:32,2025-06-01 02:30:53.773323,2025-06-01 02:30:56.736004,2025-06-01 02:32:26.399225,2025-06-01 02:32:27.399225,2025-06-01 02:33:20.510056,N17,N06,87.0,R1,cancelled
44,2025-06-01 03:11:04,2025-06-01 03:11:52.555991,2025-06-01 03:12:02.533177,2025-06-01 03:14:12.429693,2025-06-01 03:14:18.075130,2025-06-01 03:15:14.112590,N20,N03,127.1,R6,done
45,2025-06-01 11:56:36,2025-06-01 11:58:02.304964,2025-06-01 11:58:19.968659,2025-06-01 11:59:19.742222,2025-06-01 11:59:24.055820,2025-06-01 12:00:28.904532,N08,N19,55.2,R5,done
46,2025-06-01 03:42:37,2025-06-01 03:43:39.997902,2025-06-01 03:43:54.915424,2025-06-01 03:45:35.713536,2025-06-01 03:45:43.615823,2025-06-01 03:46:41.549920,N19,N17,93.7,R3,done
47,2025-06-01 08:45:20,2025-06-01 08:49:50.851929,2025-06-01 08:49:57.015191,2025-06-01 08:51:54.989872,2025-06-01 08:51:59.768008,2025-06-01 08:53:00.179286,N08,N09,108.8,R4,done
48,2025-06-01 15:29:20,2025-06-01 15:29:41.700818,2025-06-01 15:29:55.620850,2025-06-01 15:31:49.323801,2025-06-01 15:31:52.805536,2025-06-01 15:32:29.470520,N03,N01,109.3,R4,done
49,2025-06-01 14:06:04,2025-06-01 14:07:20.216178,2025-06-01 14:07:39.597032,2025-06-01 14:09:13.767017,2025-06-01 14:09:20.250943,2025-06-01 14:10:07.451491,N18,N07,84.5,R5,done
50,2025-06-01 22:56:04,2025-06-01 22:57:41.955631,2025-06-01 22:57:51.294134,2025-06-01 23:00:00.314182,2025-06-01 23:00:01.887913,2025-06-01 23:00:53.826257,N08,N12,124.3,R3,done
51,2025-06-01 19:45:19,2025-06-01 19:46:14.377129,2025-06-01 19:46:30.566211,2025-06-01 19:48:32.200533,2025-06-01 19:48:37.719312,2025-06-01 19:49:24.576830,N20,N17,120.6,R1,done
52,2025-06-01 14:59:42,2025-06-01 15:02:35.418524,2025-06-01 15:02:46.980816,2025-06-01 15:04:19.934273,2025-06-01 15:04:25.174864,2025-06-01 15:04:59.047255,N04,N05,89.1,R3,done
53,2025-06-01 04:35:09,2025-06-01 04:36:47.738504,2025-06-01 04:36:52.115294,2025-06-01 04:38:28.649620,2025-06-01 04:38:34.134287,2025-06-01 04:40:00.310058,N09,N10,95.4,R5,done
54,2025-06-01 10:43:40,2025-06-01 10:44:45.023425,2025-06-01 10:45:02.779739,2025-06-01 10:47:29.889322,2025-06-01 10:47:34.391394,2025-06-01 10:48:57.155912,N09,N17,141.4,R4,done
55,2025-06-01 21:03:05,2025-06-01 21:04:39.264789,2025-06-01 21:04:56.107947,2025-06-01 21:06:47.371697,2025-06-01 21:06:48.909951,2025-06-01 21:08:00.028750,N14,N09,109.1,R1,done
56,2025-06-01 17:40:16,2025-06-01 17:42:07.562955,2025-06-01 17:42:16.877566,2025-06-01 17:44:26.023591,2025-06-01 17:44:34.280822,2025-06-01 17:45:02.415890,N06,N15,123.3,R5,done
57,2025-06-01 14:07:04,2025-06-01 14:07:22.210109,2025-06-01 14:07:31.932371,2025-06-01 14:08:17.169188,2025-06-01 14:08:24.414543,2025-06-01 14:09:20.734662,N05,N18,38.6,R1,done
58,2025-06-01 14:09:27,2025-06-01 14:10:22.053567,2025-06-01 14:10:31.677049,2025-06-01 14:11:10.273856,2025-06-01 14:11:15.148498,2025-06-01 14:12:21.832132,N05,N02,36.8,R3,done
59,2025-06-01 22:55:02,2025-06-01 22:55:32.094316,2025-06-01 22:55:44.614549,2025-06-01 22:57:36.483481,2025-06-01 22:57:38.615303,2025-06-01 22:58:22.620311,N12,N07,108.7,R6,done
60,2025-06-01 04:49:35,2025-06-01 04:50:37.463124,2025-06-01 04:50:37.463124,2025-06-01 04:51:56.332593,2025-06-01 04:51:59.933142,2025-06-01 04:52:57.637963,N14,N05,74.3,R2,done
61,2025-06-01 23:51:11,2025-06-01 23:52:06.462933,2025-06-01 23:52:15.358085,2025-06-01 23:53:49.553279,2025-06-01 23:53:53.458719,2025-06-01 23:55:06.246339,N14,N01,86.4,R2,done
62,2025-06-01 10:59:26,2025-06-01 11:04:42.158536,2025-06-01 11:04:50.604915,2025-06-01 11:05:36.708143,2025-06-01 11:05:42.861257,2025-06-01 11:06:10.802800,N08,N09,43.2,R2,done
63,2025-06-01 04:55:02,2025-06-01 05:03:39.785533,2025-06-01 05:03:55.383408,2025-06-01 05:05:29.241673,2025-06-01 05:05:32.620661,2025-06-01 05:06:14.362448,N16,N08,89.3,R2,done
64,2025-06-01 12:19:52,2025-06-01 12:20:44.641826,2025-06-01 12:20:54.402872,2025-06-01 12:21:49.179768,2025-06-01 12:21:57.554051,2025-06-01 12:22:43.582488,N08,N20,52.9,R1,done
65,2025-06-01 11:17:55,2025-06-01 11:18:54.666082,2025-06-01 11:19:12.065803,2025-06-01 11:21:03.820668,2025-06-01 11:21:07.939659,2025-06-01 11:21:50.978269,N03,N09,106.4,R3,done
66,2025-06-01 11:53:34,2025-06-01 11:54:19.727329,2025-06-01 11:54:26.385319,2025-06-01 11:56:46.434191,2025-06-01 11:56:48.637056,2025-06-01 11:57:25.846460,N11,N01,127.5,R1,done
67,2025-06-01 08:37:16,2025-06-01 08:37:54.049760,2025-06-01 08:38:01.614133,2025-06-01 08:39:41.541917,2025-06-01 08:39:42.541917,2025-06-01 08:40:25.542733,N02,N04,96.9,R5,done
68,2025-06-01 17:20:27,2025-06-01 17:21:45.847992,2025-06-01 17:21:55.423448,2025-06-01 17:23:41.939341,2025-06-01 17:23:47.941175,2025-06-01 17:24:50.148053,N20,N17,100.5,R1,done
69,2025-06-01 14:16:02,2025-06-01 14:17:06.320421,2025-06-01 14:17:20.077357,2025-06-01 14:18:11.671612,2025-06-01 14:18:15.542498,2025-06-01 14:19:23.442437,N14,N01,50.7,R5,done
70,2025-06-01 13:46:47,2025-06-01 13:47:59.979217,2025-06-01 13:47:59.979217,2025-06-01 13:48:53.343620,2025-06-01 13:48:59.620805,2025-06-01 13:49:51.147826,N07,N12,49.9,R4,done
71,2025-06-01 16:21:39,2025-06-01 16:22:36.287858,2025-06-01 16:22:40.232777,2025-06-01 16:23:13.263678,2025-06-01 16:23:17.059741,2025-06-01 16:24:14.863255,N11,N04,30.2,R6,done
72,2025-06-01 13:42:26,2025-06-01 13:44:36.161363,2025-06-01 13:44:50.019554,2025-06-01 13:46:35.516253,2025-06-01 13:46:41.670397,2025-06-01 13:48:47.091134,N11,N13,102.8,R6,done
73,2025-06-01 05:26:42,2025-06-01 05:27:59.800408,2025-06-01 05:28:06.780482,2025-06-01 05:29:26.032035,2025-06-01 05:29:30.792333,2025-06-01 05:30:24.908479,N13,N06,73.9,R5,done
74,2025-06-01 11:53:00,2025-06-01 11:53:39.574435,2025-06-01 11:53:52.516078,2025-06-01 11:55:19.793148,2025-06-01 11:55:25.372698,2025-06-01 11:56:16.693732,N10,N20,83.4,R2,done
75,2025-06-01 14:41:20,2025-06-01 14:43:10.402398,2025-06-01 14:43:18.772280,2025-06-01 14:45:52.278675,2025-06-01 14:45:55.925849,2025-06-01 14:46:45.785195,N15,N20,142.3,R4,done
76,2025-06-01 13:50:57,2025-06-01 13:53:02.268532,2025-06-01 13:53:08.050807,2025-06-01 13:53:22.178182,2025-06-01 13:53:28.836993,2025-06-01 13:54:26.055370,N06,N03,13.1,R3,done
77,2025-06-01 15:21:05,2025-06-01 15:22:15.758647,2025-06-01 15:22:29.612973,2025-06-01 15:22:44.460381,2025-06-01 15:22:50.479137,2025-06-01 15:24:12.989070,N08,N10,13.7,R2,done
78,2025-06-01 06:02:15,2025-06-01 06:04:12.977033,2025-06-01 06:04:23.387307,2025-06-01 06:06:24.147035,2025-06-01 06:06:30.807707,2025-06-01 06:07:35.700824,N16,N03,117.4,R4,done
79,2025-06-01 15:12:45,2025-06-01 15:13:48.082344,2025-06-01 15:13:55.694057,2025-06-01 15:14:57.105502,2025-06-01 15:15:04.679452,2025-06-01 15:16:08.111463,N13,N16,54.3,R4,done
80,2025-06-01 15:00:57,2025-06-01 15:01:41.485309,2025-06-01 15:01:48.722080,2025-06-01 15:03:05.122003,2025-06-01 15:03:10.948873,2025-06-01 15:04:29.024200,N04,N14,66.7,R2,done
81,2025-06-01 22:33:29,2025-06-01 22:34:03.907165,2025-06-01 22:34:07.683891,2025-06-01 22:36:24.778311,2025-06-01 22:36:30.139373,2025-06-01 22:38:02.645010,N02,N18,136.3,R2,done
82,2025-06-01 05:08:51,2025-06-01 05:09:43.057673,2025-06-01 05:09:53.292250,2025-06-01 05:12:48.164959,2025-06-01 05:12:51.584010,2025-06-01 05:14:00.525848,N15,N17,159.3,R5,done
83,2025-06-01 22:57:28,2025-06-01 23:01:12.025909,2025-06-01 23:01:28.753009,2025-06-01 23:03:16.953732,2025-06-01 23:03:21.773277,2025-06-01 23:04:09.991034,N20,N17,94.1,R4,done
84,2025-06-01 14:57:10,2025-06-01 15:03:04.755327,2025-06-01 15:03:17.375090,2025-06-01 15:05:03.857979,2025-06-01 15:05:06.833770,2025-06-01 15:06:01.342635,N16,N15,103.4,R3,done
85,2025-06-01 20:17:49,2025-06-01 20:19:35.757934,2025-06-01 20:19:46.124524,2025-06-01 20:20:17.962085,2025-06-01 20:20:19.956555,2025-06-01 20:20:57.342357,N17,N16,30.4,R6,done
86,2025-06-01 11:45:18,2025-06-01 11:45:45.290844,2025-06-01 11:45:54.545661,2025-06-01 11:47:11.697882,2025-06-01 11:47:16.236013,2025-06-01 11:47:53.330904,N08,N09,72.2,R3,done
87,2025-06-01 13:08:09,2025-06-01 13:11:47.899743,2025-06-01 13:12:03.532568,2025-06-01 13:13:48.447985,2025-06-01 13:13:53.449383,2025-06-01 13:14:33.194775,N08,N13,100.9,R6,done
88,2025-06-01 08:26:26,2025-06-01 08:27:03.339368,2025-06-01 08:27:14.085801,2025-06-01 08:28:41.373833,2025-06-01 08:28:45.226509,2025-06-01 08:29:56.074097,N11,N18,84.7,R4,done
89,2025-06-01 08:26:24,2025-06-01 08:27:22.640013,2025-06-01 08:27:29.922889,2025-06-01 08:28:36.233254,2025-06-01 08:28:44.010419,2025-06-01 08:29:42.932199,N19,N01,63.6,R5,done
90,2025-06-01 00:22:19,2025-06-01 00:22:33.005931,2025-06-01 00:22:36.802731,2025-06-01 00:22:43.488233,2025-06-01 00:22:45.673210,2025-06-01 00:23:46.485047,N13,N14,5.0,R5,done
91,2025-06-01 14:38:57,2025-06-01 14:39:24.575880,2025-06-01 14:39:43.337232,2025-06-01 14:40:49.572596,2025-06-01 14:40:53.163656,2025-06-01 14:42:19.168360,N08,N16,56.7,R2,done
92,2025-06-01 12:24:21,2025-06-01 12:25:25.294019,2025-06-01 12:25:34.642293,2025-06-01 12:26:39.992446,2025-06-01 12:26:44.511795,2025-06-01 12:27:24.950366,N13,N06,58.2,R4,done
93,2025-06-01 23:34:01,2025-06-01 23:35:39.693249,2025-06-01 23:35:51.914566,2025-06-01 23:37:04.398174,2025-06-01 23:37:08.083707,2025-06-01 23:38:31.011848,N13,N19,68.8,R5,done
94,2025-06-01 03:27:08,2025-06-01 03:27:26.643529,2025-06-01 03:27:45.466964,2025-06-01 03:28:38.914612,2025-06-01 03:28:40.801354,2025-06-01 03:29:24.472928,N15,N06,51.9,R1,done
95,2025-06-01 09:29:20,2025-06-01 09:29:44.484592,2025-06-01 09:30:03.258563,2025-06-01 09:31:41.933353,2025-06-01 09:31:48.876998,2025-06-01 09:33:27.600389,N11,N13,98.2,R3,done
96,2025-06-01 19:16:53,2025-06-01 19:17:40.434225,2025-06-01 19:17:57.164446,2025-06-01 19:19:35.089591,2025-06-01 19:19:40.431322,2025-06-01 19:20:51.232399,N03,N16,79.1,R1,done
97,2025-06-01 02:22:14,2025-06-01 02:23:14.779242,2025-06-01 02:23:26.517151,2025-06-01 02:24:44.184977,2025-06-01 02:24:45.925791,2025-06-01 02:25:30.139379,N03,N02,74.5,R1,cancelled
98,2025-06-01 08:01:39,2025-06-01 08:05:43.263215,2025-06-01 08:05:56.851173,2025-06-01 08:07:36.801294,2025-06-01 08:07:42.313353,2025-06-01 08:08:49.852300,N05,N08,96.6,R2,done
99,2025-06-01 04:13:29,2025-06-01 04:16:41.515501,2025-06-01 04:16:56.587351,2025-06-01 04:18:46.790308,2025-06-01 04:18:51.094282,2025-06-01 04:19:28.668675,N09,N12,109.5,R2,done
100,2025-06-01 22:45:07,2025-06-01 22:45:28.983432,2025-06-01 22:45:41.888542,2025-06-01 22:47:08.960780,2025-06-01 22:47:12.009033,2025-06-01 22:47:55.934607,N06,N10,86.0,R1,done
101,2025-06-01 22:36:43,2025-06-01 22:37:13.869398,2025-06-01 22:37:37.031308,2025-06-01 22:39:35.804869,2025-06-01 22:39:42.020003,2025-06-01 22:40:42.460586,N13,N20,111.6,R6,done
102,2025-06-01 14:53:40,2025-06-01 14:54:39.776286,2025-06-01 14:54:46.482442,2025-06-01 14:55:21.802920,2025-06-01 14:55:26.732943,2025-06-01 14:56:45.152795,N08,N04,34.4,R6,done
103,2025-06-01 20:38:51,2025-06-01 20:39:29.685607,2025-06-01 20:39:48.747850,2025-06-01 20:42:10.144406,2025-06-01 20:42:12.968844,2025-06-01 20:43:00.391098,N04,N19,133.1,R1,done
104,2025-06-01 11:23:04,2025-06-01 11:23:21.467425,2025-06-01 11:23:37.188101,2025-06-01 11:25:26.505786,2025-06-01 11:25:32.266182,2025-06-01 11:26:25.156840,N17,N11,107.9,R1,done
105,2025-06-01 19:06:27,2025-06-01 19:07:55.783238,2025-06-01 19:08:11.187142,2025-06-01 19:09:58.479820,2025-06-01 19:10:00.426716,2025-06-01 19:11:06.496457,N12,N15,98.3,R6,done
106,2025-06-01 07:33:41,2025-06-01 07:35:27.408331,2025-06-01 07:35:38.077569,2025-06-01 07:37:03.277405,2025-06-01 07:37:08.198295,2025-06-01 07:38:01.312139,N09,N18,78.3,R4,done
107,2025-06-01 19:37:17,2025-06-01 19:38:18.201238,2025-06-01 19:38:28.350019,2025-06-01 19:40:18.380468,2025-06-01 19:40:20.570148,2025-06-01 19:41:08.712384,N11,N08,100.4,R1,done
108,2025-06-01 11:48:29,2025-06-01 11:48:57.922075,2025-06-01 11:49:14.311709,2025-06-01 11:50:53.398360,2025-06-01 11:51:01.292316,2025-06-01 11:52:00.762756,N19,N13,95.0,R3,done
109,2025-06-01 20:11:31,2025-06-01 20:13:34.548741,2025-06-01 20:13:37.120939,2025-06-01 20:15:09.124818,2025-06-01 20:15:15.551617,2025-06-01 20:16:31.528726,N07,N12,85.9,R3,done
110,2025-06-01 20:44:56,2025-06-01 20:47:17.254641,2025-06-01 20:47:23.837482,2025-06-01 20:48:48.521876,2025-06-01 20:48:52.630871,2025-06-01 20:49:18.041744,N09,N18,81.4,R1,done
111,2025-06-01 07:15:46,2025-06-01 07:18:47.280411,2025-06-01 07:18:54.666111,2025-06-01 07:21:01.810441,2025-06-01 07:21:04.798209,2025-06-01 07:21:56.743914,N14,N16,123.6,R5,done
112,2025-06-01 16:41:45,2025-06-01 16:42:00.498911,2025-06-01 16:42:04.461932,2025-06-01 16:42:54.828774,2025-06-01 16:43:01.797419,2025-06-01 16:44:12.837122,N16,N15,48.5,R1,done
113,2025-06-01 08:44:15,2025-06-01 08:45:12.958079,2025-06-01 08:45:26.332176,2025-06-01 08:46:46.544628,2025-06-01 08:46:52.529531,2025-06-01 08:47:52.610522,N10,N19,73.6,R3,done
114,2025-06-01 13:27:47,2025-06-01 13:33:21.639777,2025-06-01 13:33:28.451077,2025-06-01 13:35:00.338666,2025-06-01 13:35:04.092925,2025-06-01 13:36:12.258226,N18,N11,88.7,R3,done
115,2025-06-01 09:16:14,2025-06-01 09:17:07.338806,2025-06-01 09:17:15.471810,2025-06-01 09:18:22.285677,2025-06-01 09:18:28.228508,2025-06-01 09:19:11.673155,N04,N07,65.1,R3,done
116,2025-06-01 13:48:44,2025-06-01 13:50:17.447225,2025-06-01 13:50:28.461840,2025-06-01 13:51:33.022461,2025-06-01 13:51:38.351857,2025-06-01 13:52:21.687289,N06,N07,63.4,R2,done
117,2025-06-01 09:37:48,2025-06-01 09:39:18.288024,2025-06-01 09:39:31.005520,2025-06-01 09:40:50.609991,2025-06-01 09:40:54.013397,2025-06-01 09:41:47.757207,N17,N10,69.1,R1,done
118,2025-06-01 09:23:11,2025-06-01 09:23:46.970298,2025-06-01 09:23:56.804663,2025-06-01 09:24:51.093216,2025-06-01 09:24:53.971562,2025-06-01 09:26:05.291703,N10,N01,38.6,R6,done
119,2025-06-01 09:03:35,2025-06-01 09:04:07.628570,2025-06-01 09:04:23.656710,2025-06-01 09:04:35.106885,2025-06-01 09:04:43.800300,2025-06-01 09:05:54.823132,N10,N05,5.0,R6,done
120,2025-06-01 13:55:00,2025-06-01 13:55:46.657799,2025-06-01 13:55:59.611073,2025-06-01 13:57:47.769428,2025-06-01 13:57:54.199442,2025-06-01 13:58:59.130423,N19,N10,97.5,R4,done
121,2025-06-01 10:03:16,2025-06-01 10:05:05.350324,2025-06-01 10:05:20.392928,2025-06-01 10:07:09.052978,2025-06-01 10:07:14.346405,2025-06-01 10:08:08.261957,N16,N04,95.1,R1,done
122,2025-06-01 03:40:43,2025-06-01 03:41:16.868643,2025-06-01 03:41:28.712010,2025-06-01 03:43:28.533362,2025-06-01 03:43:33.540192,2025-06-01 03:44:26.439977,N02,N05,116.2,R2,done
123,2025-06-01 22:05:15,2025-06-01 22:05:36.152739,2025-06-01 22:05:46.275949,2025-06-01 22:07:36.165083,2025-06-01 22:07:45.491592,2025-06-01 22:08:55.680048,N04,N18,104.5,R4,done
124,2025-06-01 18:14:49,2025-06-01 18:15:58.947838,2025-06-01 18:16:10.194756,2025-06-01 18:17:34.897052,2025-06-01 18:17:37.014064,2025-06-01 18:19:01.289564,N17,N13,70.8,R4,done
125,2025-06-01 09:37:27,2025-06-01 09:38:46.862244,2025-06-01 09:38:55.930382,2025-06-01 09:40:24.787544,2025-06-01 09:40:28.387302,2025-06-01 09:41:27.818857,N10,N19,85.3,R5,done
126,2025-06-01 22:06:48,2025-06-01 22:07:08.658229,2025-06-01 22:07:15.863620,2025-06-01 22:09:18.322862,2025-06-01 22:09:19.322862,2025-06-01 22:10:13.873542,N07,N20,115.9,R3,done
